seed,sigma_train,sigma_test,acc_mean,acc_std
0,0.00,0.00,0.370768,0.000000
0,0.00,0.05,0.372535,0.001406
0,0.00,0.10,0.371867,0.003344
0,0.00,0.25,0.370376,0.004136
0,0.00,0.50,0.364007,0.003587
0,0.05,0.00,0.384604,0.000000
0,0.05,0.05,0.388794,0.000992
0,0.05,0.10,0.386576,0.002389
0,0.05,0.25,0.382838,0.003595
0,0.05,0.50,0.376725,0.006726
0,0.10,0.00,0.393730,0.000000
0,0.10,0.05,0.396752,0.001644
0,0.10,0.10,0.398234,0.001687
0,0.10,0.25,0.399490,0.003484
0,0.10,0.50,0.386998,0.007635
0,0.25,0.00,0.390933,0.000000
0,0.25,0.05,0.392032,0.000867
0,0.25,0.10,0.397125,0.003110
0,0.25,0.25,0.397095,0.003670
0,0.25,0.50,0.390227,0.004846
0,0.50,0.00,0.380090,0.000000
0,0.50,0.05,0.386272,0.003012
0,0.50,0.10,0.392464,0.001947
0,0.50,0.25,0.393190,0.004827
0,0.50,0.50,0.389579,0.008458
1,0.00,0.00,0.357374,0.000000
1,0.00,0.05,0.362457,0.000620
1,0.00,0.10,0.365999,0.001416
1,0.00,0.25,0.361299,0.003003
1,0.00,0.50,0.358277,0.002402
1,0.05,0.00,0.371455,0.000000
1,0.05,0.05,0.373643,0.001500
1,0.05,0.10,0.374213,0.001356
1,0.05,0.25,0.369257,0.004533
1,0.05,0.50,0.361417,0.002356
1,0.10,0.00,0.358846,0.000000
1,0.10,0.05,0.364184,0.001670
1,0.10,0.10,0.368109,0.002317
1,0.10,0.25,0.367795,0.003716
1,0.10,0.50,0.359484,0.004596
1,0.25,0.00,0.360367,0.000000
1,0.25,0.05,0.370817,0.000000
1,0.25,0.10,0.367923,0.000000
1,0.25,0.25,0.379109,0.000000
1,0.25,0.50,0.371308,0.000000
1,0.50,0.00,0.375576,0.000000
1,0.50,0.05,0.380306,0.003222
1,0.50,0.10,0.386459,0.001361
1,0.50,0.25,0.389638,0.003132
1,0.50,0.50,0.384977,0.003616
2,0.00,0.00,0.357669,0.000000
2,0.00,0.05,0.362536,0.000786
2,0.00,0.10,0.359297,0.003401
2,0.00,0.25,0.357776,0.006636
2,0.00,0.50,0.348445,0.007786
2,0.05,0.00,0.353547,0.000000
2,0.05,0.05,0.353675,0.002286
2,0.05,0.10,0.355902,0.001359
2,0.05,0.25,0.350702,0.002753
2,0.05,0.50,0.344902,0.004103
2,0.10,0.00,0.352321,0.000000
2,0.10,0.05,0.353145,0.001215
2,0.10,0.10,0.354843,0.002991
2,0.10,0.25,0.353704,0.004231
2,0.10,0.50,0.349966,0.006362
2,0.25,0.00,0.371553,0.000000
2,0.25,0.05,0.375498,0.003080
2,0.25,0.10,0.378334,0.001451
2,0.25,0.25,0.373094,0.002737
2,0.25,0.50,0.366775,0.005455
2,0.50,0.00,0.356393,0.000000
2,0.50,0.05,0.357315,0.001250
2,0.50,0.10,0.361878,0.002336
2,0.50,0.25,0.367452,0.001247
2,0.50,0.50,0.361859,0.005403
