seed,sigma_train,clean_acc,auc,delta_clean_pp_vs_seed_sigma0,delta_auc_vs_seed_sigma0
0,0.00,0.370768,0.36931754,0.000000,0.00000000
0,0.05,0.384604,0.38274114,1.383600,0.01342360
0,0.10,0.393730,0.39555392,2.296200,0.02623638
0,0.25,0.390933,0.39456972,2.016500,0.02525218
0,0.50,0.380090,0.39079531,0.932200,0.02147777
1,0.00,0.357374,0.36140320,0.000000,0.00000000
1,0.05,0.371455,0.36883672,1.408100,0.00743352
1,0.10,0.358846,0.36497154,0.147200,0.00356834
1,0.25,0.360367,0.37315524,0.299300,0.01175204
1,0.50,0.375576,0.38620057,1.820200,0.02479737
2,0.00,0.357669,0.35621823,0.000000,0.00000000
2,0.05,0.353547,0.35073153,-0.412200,-0.00548670
2,0.10,0.352321,0.35287214,-0.534800,-0.00334609
2,0.25,0.371553,0.37272544,1.388400,0.01650721
2,0.50,0.356393,0.36337209,-0.127600,0.00715386
