seed,sigma_train,train_label,sigma_test,acc_mean,acc_std,acc_mean_pct,acc_std_pct
0,0.0,train_sigma_0,0.0,0.370768,0.0,37.0768,0.0
0,0.0,train_sigma_0,0.05,0.372535,0.001406,37.2535,0.1406
0,0.0,train_sigma_0,0.1,0.371867,0.003344,37.1867,0.33440000000000003
0,0.0,train_sigma_0,0.25,0.370376,0.004136,37.0376,0.41359999999999997
0,0.0,train_sigma_0,0.5,0.364007,0.003587,36.4007,0.3587
0,0.05,train_sigma_0.05,0.0,0.384604,0.0,38.4604,0.0
0,0.05,train_sigma_0.05,0.05,0.388794,0.000992,38.8794,0.09920000000000001
0,0.05,train_sigma_0.05,0.1,0.386576,0.002389,38.657599999999995,0.2389
0,0.05,train_sigma_0.05,0.25,0.382838,0.003595,38.2838,0.3595
0,0.05,train_sigma_0.05,0.5,0.376725,0.006726,37.6725,0.6726
0,0.1,train_sigma_0.1,0.0,0.39373,0.0,39.373000000000005,0.0
0,0.1,train_sigma_0.1,0.05,0.396752,0.001644,39.6752,0.16440000000000002
0,0.1,train_sigma_0.1,0.1,0.398234,0.001687,39.8234,0.1687
0,0.1,train_sigma_0.1,0.25,0.39949,0.003484,39.949,0.3484
0,0.1,train_sigma_0.1,0.5,0.386998,0.007635,38.6998,0.7635000000000001
0,0.25,train_sigma_0.25,0.0,0.390933,0.0,39.0933,0.0
0,0.25,train_sigma_0.25,0.05,0.392032,0.000867,39.2032,0.0867
0,0.25,train_sigma_0.25,0.1,0.397125,0.00311,39.7125,0.311
0,0.25,train_sigma_0.25,0.25,0.397095,0.00367,39.7095,0.367
0,0.25,train_sigma_0.25,0.5,0.390227,0.004846,39.0227,0.4846
0,0.5,train_sigma_0.5,0.0,0.38009,0.0,38.009,0.0
0,0.5,train_sigma_0.5,0.05,0.386272,0.003012,38.6272,0.30119999999999997
0,0.5,train_sigma_0.5,0.1,0.392464,0.001947,39.2464,0.19469999999999998
0,0.5,train_sigma_0.5,0.25,0.39319,0.004827,39.318999999999996,0.48269999999999996
0,0.5,train_sigma_0.5,0.5,0.389579,0.008458,38.9579,0.8458
1,0.0,train_sigma_0,0.0,0.357374,0.0,35.7374,0.0
1,0.0,train_sigma_0,0.05,0.362457,0.00062,36.2457,0.062
1,0.0,train_sigma_0,0.1,0.365999,0.001416,36.599900000000005,0.1416
1,0.0,train_sigma_0,0.25,0.361299,0.003003,36.1299,0.3003
1,0.0,train_sigma_0,0.5,0.358277,0.002402,35.8277,0.2402
1,0.05,train_sigma_0.05,0.0,0.371455,0.0,37.1455,0.0
1,0.05,train_sigma_0.05,0.05,0.373643,0.0015,37.3643,0.15
1,0.05,train_sigma_0.05,0.1,0.374213,0.001356,37.4213,0.1356
1,0.05,train_sigma_0.05,0.25,0.369257,0.004533,36.9257,0.4533
1,0.05,train_sigma_0.05,0.5,0.361417,0.002356,36.1417,0.2356
1,0.1,train_sigma_0.1,0.0,0.358846,0.0,35.8846,0.0
1,0.1,train_sigma_0.1,0.05,0.364184,0.00167,36.4184,0.167
1,0.1,train_sigma_0.1,0.1,0.368109,0.002317,36.810900000000004,0.23170000000000002
1,0.1,train_sigma_0.1,0.25,0.367795,0.003716,36.7795,0.3716
1,0.1,train_sigma_0.1,0.5,0.359484,0.004596,35.9484,0.4596
1,0.25,train_sigma_0.25,0.0,0.305367,0.0,30.5367,0.0
1,0.25,train_sigma_0.25,0.05,0.313944,0.001855,31.3944,0.1855
1,0.25,train_sigma_0.25,0.1,0.321362,0.002596,32.136199999999995,0.2596
1,0.25,train_sigma_0.25,0.25,0.340035,0.007028,34.003499999999995,0.7028000000000001
1,0.25,train_sigma_0.25,0.5,0.345893,0.00413,34.5893,0.413
1,0.5,train_sigma_0.5,0.0,0.375576,0.0,37.5576,0.0
1,0.5,train_sigma_0.5,0.05,0.380306,0.003222,38.0306,0.3222
1,0.5,train_sigma_0.5,0.1,0.386459,0.001361,38.6459,0.1361
1,0.5,train_sigma_0.5,0.25,0.389638,0.003132,38.9638,0.3132
1,0.5,train_sigma_0.5,0.5,0.384977,0.003616,38.4977,0.3616
2,0.0,train_sigma_0,0.0,0.357669,0.0,35.7669,0.0
2,0.0,train_sigma_0,0.05,0.362536,0.000786,36.253600000000006,0.0786
2,0.0,train_sigma_0,0.1,0.359297,0.003401,35.9297,0.3401
2,0.0,train_sigma_0,0.25,0.357776,0.006636,35.7776,0.6636000000000001
2,0.0,train_sigma_0,0.5,0.348445,0.007786,34.844500000000004,0.7786000000000001
2,0.05,train_sigma_0.05,0.0,0.353547,0.0,35.3547,0.0
2,0.05,train_sigma_0.05,0.05,0.353675,0.002286,35.3675,0.22859999999999997
2,0.05,train_sigma_0.05,0.1,0.355902,0.001359,35.5902,0.1359
