train_sigma_drop,sigma_test,acc_mean,acc_std
0.0,0.0,0.37076832,0.0
0.0,0.05,0.37253459,0.00140563
0.0,0.1,0.37186733,0.003344
0.0,0.25,0.37037582,0.00413551
0.0,0.5,0.36400746,0.00358749
0.05,0.0,0.38460406,0.0
0.05,0.05,0.38879403,0.00099228
0.05,0.1,0.38657639,0.0023894
0.05,0.25,0.3828378,0.00359521
0.05,0.5,0.37672456,0.00672614
0.1,0.0,0.39372976,0.0
0.1,0.05,0.39675204,0.00164448
0.1,0.1,0.39823374,0.00168662
0.1,0.25,0.39948975,0.00348362
0.1,0.5,0.38699833,0.00763488
0.25,0.0,0.39093318,0.0
0.25,0.05,0.39203219,0.00086696
0.25,0.1,0.39712491,0.00311005
0.25,0.25,0.39709548,0.00366977
0.25,0.5,0.39022667,0.00484632
0.5,0.0,0.38009028,0.0
0.5,0.05,0.3862722,0.00301152
0.5,0.1,0.39246394,0.0019471
0.5,0.25,0.39319007,0.00482715
0.5,0.5,0.38957904,0.00845846
