seed,sigma_train,best_acc_test_pct,last_acc_test_pct,source
0,0.00,37.0768,37.0768,derived_from_jitter_baseline_clean_acc
0,0.05,39.0600,39.0600,analysis/full_sweep_summary/logs/ssc__sigma_0p05__sparsity_0p96__seed_0.log
0,0.10,39.5700,39.5700,analysis/full_sweep_summary/logs/seed0_retryfix_sigma0p1.log
0,0.25,39.3800,39.3800,analysis/full_sweep_summary/logs/seed0_retryfix_sigma0p25.log
0,0.50,38.2300,38.2300,analysis/full_sweep_summary/logs/seed0_moved_sigma0p5.log
1,0.00,35.9200,35.9200,analysis/full_sweep_summary/logs/ssc__sigma_0__sparsity_0p96__seed_1.log
1,0.05,37.2000,37.2000,analysis/full_sweep_summary/logs/ssc__sigma_0p05__sparsity_0p96__seed_1.log
1,0.10,36.4300,36.4300,analysis/full_sweep_summary/logs/ssc__sigma_0p1__sparsity_0p96__seed_1.log
1,0.25,36.3700,36.3700,analysis/full_sweep_summary/logs/ssc__sigma_0p25__sparsity_0p96__seed_1.log
1,0.50,37.5200,37.5200,analysis/full_sweep_summary/logs/ssc__sigma_0p5__sparsity_0p96__seed_1.log
2,0.00,36.2200,36.2200,analysis/full_sweep_summary/logs/ssc__sigma_0__sparsity_0p96__seed_2.log
2,0.05,35.6200,35.6200,analysis/full_sweep_summary/logs/ssc__sigma_0p05__sparsity_0p96__seed_2.log
2,0.10,35.6100,35.6100,analysis/full_sweep_summary/logs/ssc__sigma_0p1__sparsity_0p96__seed_2.log
2,0.25,37.2000,37.2000,analysis/full_sweep_summary/logs/ssc__sigma_0p25__sparsity_0p96__seed_2.log
2,0.50,35.9700,35.9700,analysis/full_sweep_summary/logs/ssc__sigma_0p5__sparsity_0p96__seed_2.log
