id,name,state,action,reason
rpdtvkiq,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0.5,finished,optional_cleanup,name_missing_sparsity_segment_for_seed0_sigma0.5
js9mvlbn,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,keep,
x2yok4wb,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0,finished,keep,
2pq2vf0e,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,keep,
jshuspn4,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0,finished,keep,
cy0qnmef,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,keep,
i48tj8xk,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0,finished,keep,
hyljkdcm,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0.96,finished,keep,
5wiy1huj,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0,finished,keep,
vr2apdtl,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0.96,finished,keep,
cyohxi6e,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0,finished,keep,
pq1bam7k,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0.96,finished,keep,
zndz9cyr,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0,finished,keep,
3yj8azw3,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0.96,finished,keep,
inc8vtmv,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0,finished,keep,
klvshqq2,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0.96,finished,keep,
tmb134nw,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0,finished,keep,
kj79trwv,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0.96,finished,keep,
mn3wx4w5,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,keep,
2zvp3i6i,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,keep,
4ayxucz5,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,keep,
grmho3gg,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,keep,
n0uw4dwu,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,keep,
yupoj848,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,keep,
yo2fbnze,BaselineDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0||sparsity_p=0.96,finished,keep,
6i5v6k0f,BaselineNoDelayDrop||seed=0||snn_delays||shd||10ms||bins=5,finished,optional_cleanup,name_missing_sparsity_segment_baseline_no_delay
cpvo56hh,BaselineNoDelayDrop||seed=0||snn_delays||ssc||10ms||bins=5,running,exclude_until_finished,still_running
