id,name,state,created_at,dataset,variant,seed,sigma_from_name,sparsity_from_name,sigma_from_config,sparsity_from_config,max_epoch,final_acc_train,final_acc_valid,max_acc_valid,final_acc_test,max_acc_test,acc_test_nonzero,has_sparsity_metric,metric_key_count,flags
rpdtvkiq,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0.5,finished,2026-03-06T15:21:16Z,shd,main_delaydrop,0,0.5,,0,0,149,0.7489390980113636,0.4126157407407407,0.45121206275720166,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
js9mvlbn,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,2026-03-06T17:03:35Z,shd,main_delaydrop,0,0.5,0.96,0,0,149,0.22747913707386364,0.19370498971193417,0.2557709619341564,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
x2yok4wb,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0,finished,2026-03-06T17:04:22Z,shd,main_delaydrop,1,0.5,0.0,0,0,149,0.733340731534091,0.4471772119341564,0.46330054012345673,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
2pq2vf0e,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,2026-03-06T18:52:46Z,shd,main_delaydrop,1,0.5,0.96,0,0,149,0.2392977627840909,0.2196823559670782,0.25149498456790126,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
jshuspn4,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0,finished,2026-03-06T18:53:28Z,shd,main_delaydrop,2,0.5,0.0,0,0,149,0.7443714488636364,0.4382233796296296,0.4767875514403292,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
cy0qnmef,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=0.5||sparsity_p=0.96,finished,2026-03-06T20:45:31Z,shd,main_delaydrop,2,0.5,0.96,0,0,149,0.2222478693181818,0.23363554526748972,0.2809124228395061,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
i48tj8xk,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0,finished,2026-03-06T20:49:20Z,shd,main_delaydrop,0,1.0,0.0,0,0,149,0.6907781427556818,0.47315457818930046,0.4908371913580247,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
hyljkdcm,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0.96,finished,2026-03-06T22:40:24Z,shd,main_delaydrop,0,1.0,0.96,0,0,149,0.21535200639204544,0.2137988683127572,0.2504983281893004,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
5wiy1huj,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0,finished,2026-03-06T22:43:03Z,shd,main_delaydrop,1,1.0,0.0,0,0,149,0.6857799183238636,0.466724537037037,0.4992444701646091,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
vr2apdtl,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=1||sparsity_p=0.96,finished,2026-03-07T00:26:01Z,shd,main_delaydrop,1,1.0,0.96,0,0,149,0.23498757102272727,0.21768904320987653,0.2585358796296296,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
